Year,Team,Continent,Wins,Draws,Losses,Goals,Total Games,Average Goals,Win Rate
2011,Turkmenistan,Asia,1,2,1,8,4,2.0,25.0
2011,Turks and Caicos Islands,North America,0,0,2,0,2,0.0,0.0
2011,US Virgin Islands,North America,2,1,6,6,9,0.6666666666666666,22.22222222222222
2011,USA,North America,5,3,8,15,16,0.9375,31.25
2011,Uganda,Africa,8,4,4,20,16,1.25,50.0
2011,Ukraine,Europe,6,1,5,18,12,1.5,50.0
2011,United Arab Emirates,Asia,4,3,8,22,15,1.4666666666666666,26.666666666666668
2011,Uruguay,South America,11,3,2,30,16,1.875,68.75
2011,Uzbekistan,Asia,9,3,5,26,17,1.5294117647058822,52.94117647058824
2011,Vanuatu,Oceania,5,3,2,18,10,1.8,50.0
2011,Venezuela,South America,8,5,9,24,22,1.0909090909090908,36.36363636363637
2011,Vietnam,Asia,3,0,2,15,5,3.0,60.0
2011,Wales,Europe,5,0,5,13,10,1.3,50.0
2011,Yemen,Asia,0,1,2,0,3,0.0,0.0
2011,Zambia,Africa,5,1,3,16,9,1.7777777777777777,55.55555555555556
2011,Zimbabwe,Africa,6,0,4,14,10,1.4,60.0
2012,Albania,Europe,4,2,3,9,9,1.0,44.44444444444444
2012,Algeria,Africa,5,0,2,15,7,2.142857142857143,71.42857142857143
2012,Andorra,Europe,0,1,7,0,8,0.0,0.0
2012,Angola,Africa,4,8,2,14,14,1.0,28.57142857142857
2012,Anguilla,North America,0,0,2,0,2,0.0,0.0
2012,Antigua and Barbuda,North America,1,1,9,7,11,0.6363636363636364,9.090909090909092
2012,Argentina,South America,7,2,2,26,11,2.3636363636363638,63.63636363636363
2012,Armenia,Europe,4,0,5,13,9,1.4444444444444444,44.44444444444444
2012,Aruba,North America,2,1,2,9,5,1.8,40.0
2012,Australia,Oceania,7,3,3,33,13,2.5384615384615383,53.84615384615385
2012,Austria,Europe,4,2,2,13,8,1.625,50.0
2012,Azerbaijan,Europe,2,4,4,10,10,1.0,20.0
2012,Bahrain,Asia,6,6,7,26,19,1.368421052631579,31.57894736842105
2012,Bangladesh,Asia,0,2,1,2,3,0.6666666666666666,0.0
2012,Barbados,North America,2,0,1,3,3,1.0,66.66666666666666
2012,Belarus,Europe,3,2,3,8,8,1.0,37.5
2012,Belgium,Europe,4,3,2,16,9,1.7777777777777777,44.44444444444444
2012,Benin,Africa,1,4,1,5,6,0.8333333333333334,16.666666666666664
2012,Bermuda,North America,0,0,2,2,2,1.0,0.0
2012,Bhutan,Asia,0,0,1,0,1,0.0,0.0
2012,Bolivia,South America,4,2,2,12,8,1.5,50.0
2012,Bosnia and Herzegovina,Europe,5,1,3,20,9,2.2222222222222223,55.55555555555556
2012,Botswana,Africa,2,6,6,12,14,0.8571428571428571,14.285714285714285
2012,Brazil,South America,10,1,2,38,13,2.923076923076923,76.92307692307693
2012,British Virgin Islands,North America,1,0,2,1,3,0.3333333333333333,33.33333333333333
2012,Brunei Darussalam,Asia,2,0,2,6,4,1.5,50.0
2012,Bulgaria,Europe,3,4,2,8,9,0.8888888888888888,33.33333333333333
2012,Burkina Faso,Africa,4,3,7,11,14,0.7857142857142857,28.57142857142857
2012,Burundi,Africa,5,0,1,10,6,1.6666666666666667,83.33333333333334
2012,Cabo Verde,Africa,3,0,3,11,6,1.8333333333333333,50.0
2012,Cambodia,Asia,0,1,4,3,5,0.6,0.0
2012,Cameroon,Africa,7,4,4,20,15,1.3333333333333333,46.666666666666664
2012,Canada,North America,4,2,3,9,9,1.0,44.44444444444444
2012,Central African Republic,Africa,3,1,1,7,5,1.4,60.0
2012,Chad,Africa,1,1,3,4,5,0.8,20.0
2012,Chile,South America,4,1,6,15,11,1.3636363636363635,36.36363636363637
2012,China PR,Asia,3,2,3,10,8,1.25,37.5
